,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Chris Johnson,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,3,3,16,1,,343,392.9,401.9,367.9,197,1,1,JohnCh04
2,Adrian Peterson,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,7,6,18,,,278,320.9,332.9,299.4,132,2,2,PeteAd01
3,Maurice Jones-Drew,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,1,16,,,271,323.5,330.5,297.0,125,3,3,DrewMa00
4,Aaron Rodgers,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,10,4,5,,3,343,343.0,360.0,350.0,115,1,4,RodgAa00
5,Andre Johnson,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,,9,1,,214,314.9,317.9,264.4,104,1,5,JohnAn02
6,Ray Rice,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,3,2,8,,,248,326.1,334.1,287.1,102,4,6,RiceRa00
7,Randy Moss,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,2,1,13,1,,204,287.4,291.4,245.9,95,2,7,MossRa00
8,DeSean Jackson,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,1,12,,,199,261.3,268.3,230.3,90,3,8,JackDe00
9,Miles Austin,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,1,,11,,,198,278.8,281.8,238.3,88,4,9,AustMi00
10,Thomas Jones,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,2,,14,,,230,240.0,243.0,235.0,84,5,10,JoneTh00
11,Frank Gore,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,2,13,,,227,278.6,286.6,252.6,81,6,11,GoreFr00
12,Larry Fitzgerald,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,0,,13,,,187,284.2,287.2,235.7,78,5,12,FitzLa00
13,Vernon Davis,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,0,,13,,,175,252.5,255.5,213.5,76,1,13,DaviVe00
14,Reggie Wayne,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,0,,10,,,184,284.4,288.4,235.4,75,6,14,WaynRe00
15,Dallas Clark,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,1,,10,,,172,271.7,274.7,221.7,73,2,15,ClarDa00
16,Roddy White,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,1,,11,,,182,266.5,269.5,224.0,72,7,16,WhitRo00
17,Sidney Rice,MIN,WR,23,16,14,0,1,0,0,0,0,0,,0,121,83,1312,15.81,8,1,1,8,,,177,260.2,264.2,218.7,68,8,17,RiceSi01
18,Ricky Williams,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,2,13,1,,213,247.5,256.5,231.0,67,7,18,WillRi00
19,Drew Brees,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,10,6,2,,1,294,295.4,315.4,305.9,66,2,19,BreeDr00
20,Brandon Marshall,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,0,,10,,,176,276.9,279.9,226.4,66,9,20,MarsBr00
21,Antonio Gates,SDG,TE,29,16,16,0,0,0,0,0,0,0,,0,114,79,1157,14.65,8,1,,8,,,164,242.7,245.7,203.2,65,3,21,GateAn00
22,Ryan Grant,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,1,1,11,,,209,234.0,241.0,221.5,63,8,22,GranRy00
23,Vincent Jackson,SDG,WR,26,15,15,0,0,0,0,0,3,11,3.67,0,108,68,1167,17.16,9,0,,9,,,172,239.8,242.8,205.8,62,10,23,JackVi00
24,Steve Smith,NYG,WR,24,16,15,0,0,0,0,0,0,0,,0,157,107,1220,11.40,7,0,,7,,,164,271.0,274.0,217.5,54,11,24,SmitSt02
25,Matt Schaub,HOU,QB,28,16,16,396,583,4770,29,15,48,57,1.19,0,0,0,0,,0,3,2,0,,1,281,280.5,300.5,295.5,53,4,25,SchaMa00
26,Brett Favre,MIN,QB,40,16,16,363,531,4202,33,7,9,7,0.78,0,1,1,-2,-2.00,0,2,3,0,,,281,281.6,294.6,288.1,53,3,26,FavrBr00
27,Wes Welker,NWE,WR,28,14,13,0,0,0,0,0,5,36,7.20,0,162,123,1348,10.96,4,2,,4,,,162,285.4,288.4,223.9,53,12,27,WelkWe00
28,Peyton Manning,IND,QB,33,16,16,393,571,4500,33,16,19,-13,-0.68,0,0,0,0,,0,2,,0,,,279,278.7,297.7,294.7,51,5,28,MannPe00
29,Joseph Addai,IND,RB,26,15,15,1,1,22,1,0,219,828,3.78,10,63,51,336,6.59,3,1,1,13,,,197,248.3,255.3,222.8,51,9,29,AddaJo00
30,Marques Colston,NOR,WR,26,16,14,0,0,0,0,0,1,6,6.00,0,107,70,1074,15.34,9,2,1,9,,,160,230.0,234.0,195.0,50,13,30,ColsMa00
31,Steven Jackson,STL,RB,26,15,15,0,0,0,0,0,324,1416,4.37,4,75,51,322,6.31,0,2,2,4,,,194,244.8,252.8,219.3,48,10,31,JackSt00
32,Chad Johnson,CIN,WR,31,16,15,0,0,0,0,0,3,32,10.67,0,128,72,1047,14.54,9,2,2,9,,,158,229.9,234.9,193.9,48,14,32,JohnCh01
33,Brent Celek,PHI,TE,24,16,15,0,0,0,0,0,0,0,,0,112,76,971,12.78,8,0,,8,,,145,221.1,224.1,183.1,47,4,33,CeleBr00
34,Tony Romo,DAL,QB,29,16,16,347,550,4483,26,9,35,105,3.00,1,0,0,0,,0,6,4,1,,,274,273.8,292.8,282.8,46,6,34,RomoTo00
35,Jamaal Charles,KAN,RB,23,15,10,0,0,0,0,0,190,1120,5.89,7,55,40,297,7.43,1,4,3,9,1,,192,231.7,240.7,211.7,46,11,35,CharJa00
36,Santonio Holmes,PIT,WR,25,16,16,0,1,0,0,1,3,6,2.00,0,138,79,1248,15.80,5,0,,5,,,153,232.4,236.4,193.9,44,15,36,HolmSa00
37,Jonathan Stewart,CAR,RB,22,16,3,0,0,0,0,0,221,1133,5.13,10,26,18,139,7.72,1,3,2,11,,,189,207.2,215.2,198.2,43,12,37,StewJo00
38,Tom Brady,NWE,QB,32,16,16,371,565,4398,28,13,29,44,1.52,1,0,0,0,,0,4,2,1,,1,270,270.3,288.3,283.3,42,7,38,BradTo00
39,Philip Rivers,SDG,QB,28,16,16,317,486,4254,28,9,26,50,1.92,1,0,0,0,,0,6,3,1,,,269,269.2,284.2,278.2,41,8,39,RivePh00
40,Hines Ward,PIT,WR,33,16,16,0,0,0,0,0,0,0,,0,137,95,1167,12.28,6,2,1,6,,,151,245.7,249.7,198.2,41,16,40,WardHi00
41,Ben Roethlisberger,PIT,QB,27,15,15,337,506,4328,26,12,40,82,2.05,2,0,0,0,,0,7,3,2,,,267,267.3,285.3,279.3,39,9,41,RoetBe00
42,Derrick Mason,BAL,WR,35,16,16,0,0,0,0,0,1,2,2.00,0,134,73,1028,14.08,7,0,,7,,,145,218.0,221.0,181.5,35,17,42,MasoDe00
43,Steve Smith Sr.,CAR,WR,30,15,15,0,0,0,0,0,5,22,4.40,0,129,65,982,15.11,7,1,,7,1,,144,209.4,212.4,176.9,35,18,43,SmitSt01
44,Rashard Mendenhall,PIT,RB,22,16,12,0,0,0,0,0,242,1108,4.58,7,32,25,261,10.44,1,3,3,8,,,179,203.9,212.9,191.4,33,13,44,MendRa00
45,Donald Driver,GNB,WR,34,16,16,0,0,0,0,0,1,13,13.00,0,113,70,1061,15.16,6,2,1,6,,,141,211.4,215.4,176.4,32,19,45,DrivDo00
46,Percy Harvin,MIN,WR,21,15,8,0,0,0,0,0,15,135,9.00,0,91,60,790,13.17,6,1,,8,,,141,200.5,206.5,170.5,31,20,46,HarvPe00
47,Greg Jennings,GNB,WR,26,16,13,0,0,0,0,0,0,0,,0,119,68,1113,16.37,4,0,,4,2,,139,207.3,210.3,173.3,30,21,47,JennGr00
48,DeAngelo Williams,CAR,RB,26,13,13,0,0,0,0,0,216,1117,5.17,7,41,29,252,8.69,0,3,3,7,1,,175,203.9,212.9,189.4,29,14,48,WillDe02
