,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
49,Robert Meachem,NOR,WR,25,16,7,0,0,0,0,0,6,82,13.67,0,64,45,722,16.04,9,2,1,10,,,138,183.4,187.4,160.9,29,22,49,MeacRo00
50,Cedric Benson,CIN,RB,27,13,13,0,0,0,0,0,301,1251,4.16,6,24,17,111,6.53,0,1,,6,,,172,189.2,195.2,180.7,26,15,50,BensCe00
51,Tony Gonzalez,ATL,TE,33,16,16,0,0,0,0,0,0,0,,0,134,83,867,10.45,6,0,,6,,,123,205.7,208.7,164.2,24,5,51,GonzTo00
52,Visanthe Shiancoe,MIN,TE,29,16,13,0,0,0,0,0,0,0,,0,79,56,566,10.11,11,0,,11,,,123,178.6,181.6,150.6,24,6,52,ShiaVi00
53,Fred Jackson,BUF,RB,28,16,11,1,1,27,1,0,237,1062,4.48,2,61,46,371,8.07,2,4,2,4,,,168,214.4,222.4,191.4,22,16,53,JackFr02
54,Calvin Johnson,DET,WR,24,14,14,0,0,0,0,0,7,73,10.43,0,137,67,984,14.69,5,3,2,5,,,132,198.7,203.7,165.2,22,23,54,JohnCa00
55,Kellen Winslow,TAM,TE,26,16,14,0,0,0,0,0,1,7,7.00,0,127,77,884,11.48,5,0,,5,,,119,196.1,199.1,157.6,21,7,55,WinsKe01
56,Anquan Boldin,ARI,WR,29,15,15,0,0,0,0,0,3,12,4.00,1,127,84,1024,12.19,4,3,2,5,,,130,213.6,218.6,171.6,20,24,56,BoldAn00
57,Mike Sims-Walker,JAX,WR,25,15,14,0,0,0,0,0,0,0,,0,111,63,869,13.79,7,2,1,7,,,127,189.9,193.9,158.4,17,25,57,WalkMi01
58,Jason Witten,DAL,TE,27,16,16,0,0,0,0,0,0,0,,0,124,94,1030,10.96,2,0,,2,,,115,209.0,212.0,162.0,17,8,58,WittJa00
59,Knowshon Moreno,DEN,RB,22,16,9,0,0,0,0,0,247,947,3.83,7,41,28,213,7.61,2,4,4,9,,,162,190.0,200.0,176.0,16,17,59,MoreKn00
60,Heath Miller,PIT,TE,27,16,16,0,0,0,0,0,0,0,,0,98,76,789,10.38,6,2,,6,,,115,190.9,193.9,152.9,16,9,60,MillHe00
61,Terrell Owens,BUF,WR,36,16,16,0,0,0,0,0,6,54,9.00,1,109,55,829,15.07,5,1,,6,,,124,179.3,182.3,151.8,15,26,61,OwenTe00
62,Matt Forte,CHI,RB,24,16,16,0,0,0,0,0,258,929,3.60,4,72,57,471,8.26,0,6,3,4,1,,160,217.0,226.0,188.5,14,18,62,FortMa00
63,Greg Olsen,CHI,TE,24,16,15,0,0,0,0,0,0,0,,0,108,60,612,10.20,8,0,,8,,,109,169.2,172.2,139.2,11,10,63,OlseGr00
64,Pierre Thomas,NOR,RB,25,14,6,0,0,0,0,0,147,793,5.39,6,45,39,302,7.74,2,2,1,8,,,156,194.5,201.5,175.0,10,20,64,ThomPi00
65,LaDainian Tomlinson,SDG,RB,30,14,14,0,1,0,0,0,223,730,3.27,12,30,20,154,7.70,0,2,2,12,,,156,176.4,184.4,166.4,10,19,65,TomlLa00
66,Donovan McNabb,PHI,QB,33,14,14,267,443,3553,22,10,37,140,3.78,2,1,1,1,1.00,0,10,2,2,,2,236,237.2,255.2,246.7,8,10,66,McNaDo00
67,Marion Barber III,DAL,RB,26,15,15,0,0,0,0,0,214,932,4.36,7,36,26,221,8.50,0,2,2,7,,,153,179.3,187.3,166.3,7,21,67,BarbMa01
68,Hakeem Nicks,NYG,WR,21,14,6,0,0,0,0,0,2,8,4.00,0,74,47,790,16.81,6,2,,6,,,116,162.8,165.8,139.3,6,27,68,NickHa01
69,Mike Wallace,PIT,WR,23,16,4,0,0,0,0,0,5,48,9.60,0,72,39,756,19.38,6,1,1,6,,,114,153.4,157.4,133.9,5,28,69,WallMi00
70,Eli Manning,NYG,QB,28,16,16,317,509,4021,27,14,17,65,3.82,0,0,0,0,,0,13,8,0,,,231,231.3,256.3,245.3,3,11,70,MannEl00
71,Michael Turner,ATL,RB,27,11,11,0,0,0,0,0,178,871,4.89,10,7,5,35,7.00,0,4,2,10,,,147,151.6,156.6,149.1,1,22,71,TurnMi00
72,Mario Manningham,NYG,WR,23,14,10,0,0,0,0,0,0,0,,0,99,57,822,14.42,5,1,1,5,,,110,167.2,171.2,138.7,1,29,72,MannMa01
73,John Carlson,SEA,TE,25,16,16,0,0,0,0,0,0,0,,0,83,51,574,11.25,7,0,,7,,,99,150.4,153.4,124.9,1,11,73,CarlJo00
74,Jay Cutler,CHI,QB,26,16,16,336,555,3666,27,26,40,173,4.33,1,0,0,0,,0,9,1,1,,2,228,227.9,260.9,253.9,,12,74,CutlJa00
75,David Garrard,JAX,QB,31,16,16,314,516,3597,15,10,77,323,4.19,3,0,0,0,,0,14,8,3,1,,220,220.2,244.2,230.2,,13,75,GarrDa00
76,Jason Campbell,WAS,QB,28,16,16,327,507,3618,20,15,46,236,5.13,1,0,0,0,,0,13,4,1,,,216,216.3,241.3,231.3,,14,76,CampJa00
77,Kyle Orton,DEN,QB,27,16,15,336,541,3802,21,12,24,71,2.96,0,0,0,0,,0,4,2,0,,,215,215.2,232.2,227.2,,15,77,OrtoKy00
78,Kurt Warner,ARI,QB,38,15,15,339,513,3753,26,14,21,10,0.48,0,0,0,0,,0,11,6,0,,,215,215.1,238.1,229.1,,16,78,WarnKu00
79,Carson Palmer,CIN,QB,30,16,16,282,466,3094,21,13,39,93,2.38,3,0,0,0,,0,6,1,3,1,1,211,211.1,228.1,224.1,,17,,PalmCa00
80,Joe Flacco,BAL,QB,24,16,16,315,499,3613,21,12,35,56,1.60,0,0,0,0,,0,8,2,0,,,206,206.1,223.1,218.1,,18,,FlacJo00
81,Matt Ryan,ATL,QB,24,14,14,263,451,2916,22,14,30,49,1.63,1,0,0,0,,0,5,2,1,,,184,183.5,202.5,197.5,,19,,RyanMa00
82,Matt Cassel,KAN,QB,27,15,15,271,493,2924,16,16,50,189,3.78,0,1,0,0,,0,14,4,0,,1,162,161.9,187.9,177.9,,20,,CassMa00
83,Matt Hasselbeck,SEA,QB,34,14,14,293,488,3029,17,17,26,119,4.58,0,0,0,0,,0,11,3,0,,,161,161.1,187.1,178.1,,21,,HassMa00
84,Jerome Harrison,CLE,RB,26,14,7,0,0,0,0,0,194,862,4.44,5,50,34,220,6.47,2,2,2,7,,,146,180.2,188.2,163.2,,23,,HarrJe00
85,Cadillac Williams,TAM,RB,27,16,15,0,0,0,0,0,211,823,3.90,4,39,28,217,7.75,3,1,,7,,,146,174.0,180.0,160.0,,24,,WillCa02
86,Willis McGahee,BAL,RB,28,16,1,0,0,0,0,0,109,544,4.99,12,22,15,85,5.67,2,1,1,14,,,145,159.9,163.9,152.4,,25,,McGaWi00
87,Alex Smith,SFO,QB,25,11,10,225,372,2350,18,12,24,51,2.13,0,1,1,-6,-6.00,0,3,1,0,,,145,145.5,161.5,157.0,,22,,SmitAl03
88,Chad Henne,MIA,QB,24,14,13,274,451,2878,12,14,16,32,2.00,1,0,0,0,,0,4,,1,,,144,144.3,161.3,158.3,,23,,HennCh01
89,Tim Hightower,ARI,RB,23,16,16,0,0,0,0,0,143,598,4.18,8,80,63,428,6.79,0,5,4,8,,,143,205.6,215.6,174.1,,26,,HighTi00
90,Kevin Smith,DET,RB,23,13,13,0,0,0,0,0,217,747,3.44,4,57,41,415,10.12,1,3,2,5,,,142,183.2,191.2,162.7,,27,,SmitKe02
91,Ahmad Bradshaw,NYG,RB,23,15,1,0,0,0,0,0,163,778,4.77,7,30,21,207,9.86,0,3,2,7,,,137,157.5,165.5,147.0,,28,,BradAh00
92,Vince Young,TEN,QB,26,12,10,152,259,1879,10,7,55,281,5.11,2,0,0,0,,0,8,2,2,,,137,137.3,152.3,144.3,,24,,YounVi00
93,Brandon Jacobs,NYG,RB,27,15,15,0,0,0,0,0,224,835,3.73,5,31,18,184,10.22,1,2,1,6,,,136,153.9,160.9,144.9,,29,,JacoBr00
94,Laurence Maroney,NWE,RB,24,15,5,0,0,0,0,0,194,757,3.90,9,18,14,99,7.07,0,4,3,9,,,134,147.6,153.6,140.6,,30,,MaroLa00
95,Mark Sanchez,NYJ,QB,23,15,15,196,364,2444,12,20,36,106,2.94,3,0,0,0,,0,10,3,3,,2,132,132.4,161.4,152.4,,25,,SancMa00
96,Darren Sproles,SDG,RB,26,16,2,0,0,0,0,0,93,343,3.69,3,57,45,497,11.04,4,3,,8,,,132,177.0,183.0,154.5,,31,,SproDa00
97,Beanie Wells,ARI,RB,21,16,0,0,0,0,0,0,176,793,4.51,7,16,12,143,11.92,0,4,2,7,,,132,143.6,151.6,137.6,,32,,WellCh00
98,Ronnie Brown,MIA,RB,28,9,9,2,6,22,1,0,147,648,4.41,8,20,14,98,7.00,0,1,1,8,,,125,139.5,143.5,132.5,,33,,BrowRo05
99,Justin Forsett,SEA,RB,24,16,2,0,0,0,0,0,114,619,5.43,4,57,41,350,8.54,1,4,1,5,,,125,165.9,172.9,145.4,,34,,ForsJu00
100,Matthew Stafford,DET,QB,21,10,10,201,377,2267,13,20,20,108,5.40,2,0,0,0,,0,4,1,2,,1,125,125.5,152.5,145.5,,26,,StafMa00
101,LeSean McCoy,PHI,RB,21,16,4,0,0,0,0,0,155,637,4.11,4,55,40,308,7.70,0,2,1,4,1,,119,158.5,165.5,138.5,,35,,McCoLe01
102,Reggie Bush,NOR,RB,24,14,8,0,0,0,0,0,70,390,5.57,5,68,47,335,7.13,3,4,2,8,,,117,163.5,171.5,140.0,,37,,BushRe00
103,Steve Slaton,HOU,RB,23,11,10,0,0,0,0,0,131,437,3.34,3,55,44,417,9.48,4,7,5,7,,,117,161.4,172.4,139.4,,36,,SlatSt00
104,Jason Snelling,ATL,RB,26,14,2,0,0,0,0,0,142,613,4.32,4,39,30,259,8.63,1,2,1,5,,,115,145.2,152.2,130.2,,38,,SnelJa00
105,Julius Jones,SEA,RB,28,14,14,0,0,0,0,0,177,663,3.75,2,43,35,232,6.63,2,0,,4,,,114,148.5,154.5,131.0,,39,,JoneJu01
106,Austin Collie,IND,WR,24,16,5,0,0,0,0,0,2,1,0.50,0,89,60,676,11.27,7,0,,7,,,110,169.7,172.7,139.7,,30,,CollAu00
107,Jerricho Cotchery,NYJ,WR,27,14,12,0,0,0,0,0,2,7,3.50,1,96,57,821,14.40,3,1,,4,,,107,163.8,166.8,135.3,,33,,CotcJe00
108,T.J. Houshmandzadeh,SEA,WR,32,16,16,0,0,0,0,0,0,0,,0,135,79,911,11.53,3,2,1,3,,,107,186.1,190.1,146.6,,31,,HousTJ00
109,Santana Moss,WAS,WR,30,16,16,0,0,0,0,0,2,8,4.00,0,120,70,902,12.89,3,2,1,3,,,107,177.0,181.0,142.0,,32,,MossSa00
110,Patrick Crayton,DAL,WR,30,16,6,0,0,0,0,0,4,28,7.00,0,67,37,622,16.81,5,4,1,7,,,105,142.0,146.0,123.5,,34,,CrayPa00
111,Chris Chambers,2TM,WR,31,16,14,0,0,0,0,0,0,0,,0,92,45,730,16.22,5,0,,5,,,103,148.0,151.0,125.5,,36,,ChamCh00
112,Lee Evans,BUF,WR,28,16,16,0,0,0,0,0,0,0,,0,96,44,612,13.91,7,0,,7,,,103,147.2,150.2,125.2,,35,,EvanLe00
113,Pierre Garcon,IND,WR,23,14,13,0,0,0,0,0,2,10,5.00,0,92,47,765,16.28,4,1,,4,,,102,148.5,151.5,125.0,,37,,GarcPi00
114,Jeremy Maclin,PHI,WR,21,15,13,0,0,0,0,0,2,-7,-3.50,0,91,56,773,13.80,4,0,,4,,,101,156.6,159.6,128.6,,38,,MaclJe00
115,Roy Williams,DAL,WR,28,15,13,0,0,0,0,0,0,0,,0,86,38,596,15.68,7,1,1,7,,,100,137.6,141.6,118.6,,39,,WillRo04
116,Zach Miller,OAK,TE,24,15,15,0,0,0,0,0,0,0,,0,99,66,805,12.20,3,0,,3,,,99,164.5,167.5,131.5,,12,,MillZa01
117,Nate Burleson,SEA,WR,28,13,12,0,0,0,0,0,2,4,2.00,0,103,63,812,12.89,3,3,2,3,,,96,158.6,163.6,127.1,,40,,BurlNa00
118,Jermichael Finley,GNB,TE,22,13,10,0,0,0,0,0,0,0,,0,72,55,676,12.29,5,1,1,5,,,96,150.6,154.6,123.1,,13,,FinlJe00
119,Josh Freeman,TAM,QB,21,10,9,158,290,1855,10,18,30,161,5.37,0,1,0,1,,0,10,1,0,1,1,96,96.4,121.4,114.4,,27,,FreeJo00
120,Todd Heap,BAL,TE,29,16,16,0,0,0,0,0,1,2,2.00,0,75,53,593,11.19,6,1,,6,,,96,148.5,151.5,122.0,,14,,HeapTo00
121,Devery Henderson,NOR,WR,27,16,11,0,0,0,0,0,4,13,3.25,0,83,51,804,15.76,2,0,,2,,,94,144.7,147.7,119.2,,42,,HendDe00
122,Felix Jones,DAL,RB,22,14,1,0,0,0,0,0,116,685,5.91,3,22,19,119,6.26,0,3,2,3,,,94,113.4,121.4,103.9,,40,,JoneFe00
123,Nate Washington,TEN,WR,26,16,15,0,0,0,0,0,2,15,7.50,0,95,47,569,12.11,6,1,,6,,,94,141.4,144.4,117.9,,41,,WashNa00
124,Mike Bell,NOR,RB,26,13,3,0,0,0,0,0,172,654,3.80,5,4,4,12,3.00,0,2,2,5,,,93,96.6,101.6,94.6,,41,,BellMi00
125,Earl Bennett,CHI,WR,22,16,15,0,0,0,0,0,0,0,,0,88,54,717,13.28,2,2,,3,1,,92,145.7,148.7,118.7,,44,,BennEa00
126,Steve Breaston,ARI,WR,26,15,6,0,0,0,0,0,2,44,22.00,0,82,55,712,12.95,3,2,1,3,,,92,146.6,150.6,119.1,,45,,BreaSt00
127,Braylon Edwards,2TM,WR,26,16,15,0,1,0,0,0,0,0,,0,95,45,680,15.11,4,1,1,4,1,,92,137.0,141.0,114.5,,43,,EdwaBr00
128,Devin Hester,CHI,WR,27,13,12,0,0,0,0,0,6,-1,-0.17,0,91,57,757,13.28,3,3,1,3,,,92,148.6,152.6,120.1,,46,,HestDe99
129,Correll Buckhalter,DEN,RB,31,14,7,0,0,0,0,0,120,642,5.35,1,38,31,240,7.74,0,3,2,1,,,90,121.2,129.2,105.7,,42,,BuckCo00
130,Ryan Fitzpatrick,BUF,QB,27,10,8,127,227,1422,9,10,31,141,4.55,1,0,0,0,,0,3,2,1,,,89,89.0,107.0,99.0,,28,,FitzRy00
131,Donnie Avery,STL,WR,25,16,16,0,0,0,0,0,4,30,7.50,0,97,47,589,12.53,5,2,2,5,,,88,134.9,139.9,111.4,,47,,AverDo00
132,Kevin Boss,NYG,TE,25,15,15,0,0,0,0,0,1,16,16.00,0,69,42,567,13.50,5,0,,5,,,88,130.3,133.3,109.3,,15,,BossKe00
133,Jacoby Jones,HOU,WR,25,14,1,0,0,0,0,0,3,22,7.33,0,40,27,437,16.19,6,2,,7,,,88,114.9,117.9,101.4,,48,,JoneJa03
134,Fred Davis,WAS,TE,23,16,10,0,0,0,0,0,0,0,,0,76,48,509,10.60,6,0,,6,,,87,134.9,137.9,110.9,,16,,DaviFr01
135,Bernard Berrian,MIN,WR,29,16,15,0,0,0,0,0,0,0,,0,92,55,618,11.24,4,0,,4,,,86,140.8,143.8,113.3,,50,,BerrBe00
136,Kenny Britt,TEN,WR,21,16,6,0,0,0,0,0,0,0,,0,75,42,701,16.69,3,1,1,3,,,86,128.1,132.1,107.1,,49,,BritKe00
137,Jabar Gaffney,DEN,WR,29,16,7,0,0,0,0,0,0,0,,0,87,54,732,13.56,2,0,,2,,,85,139.2,142.2,112.2,,51,,GaffJa00
138,Johnny Knox,CHI,WR,23,15,0,0,0,0,0,0,0,0,,0,80,45,527,11.71,5,3,2,6,,,85,129.7,134.7,107.2,,52,,KnoxJo00
139,Chester Taylor,MIN,RB,30,16,0,0,0,0,0,0,94,338,3.60,1,59,44,389,8.84,1,2,,2,,,85,128.7,134.7,106.7,,43,,TaylCh01
140,Antonio Bryant,TAM,WR,28,13,11,0,0,0,0,0,0,0,,0,86,39,600,15.38,4,0,,4,,,84,123.0,126.0,103.5,,53,,BryaAn00
141,Malcom Floyd,SDG,WR,28,16,9,0,0,0,0,0,0,0,,0,76,45,776,17.24,1,0,,1,,,84,128.6,131.6,106.1,,54,,FloyMa00
142,Davone Bess,MIA,WR,24,16,2,0,0,0,0,0,2,11,5.50,0,113,76,758,9.97,2,6,3,2,,,83,158.9,164.9,120.9,,55,,BessDa00
143,Dwayne Bowe,KAN,WR,25,11,9,0,0,0,0,0,0,0,,0,87,47,589,12.53,4,1,,4,,,83,129.9,132.9,106.4,,56,,BoweDw00
144,Michael Bush,OAK,RB,25,16,7,0,1,0,0,0,123,589,4.79,3,19,17,105,6.18,0,2,2,3,,,83,100.4,108.4,91.9,,44,,BushMi00
145,Brady Quinn,CLE,QB,25,10,9,136,256,1339,8,7,20,98,4.90,1,1,1,18,18.00,0,4,3,1,,,83,84.2,97.2,90.7,,29,,QuinBr00
146,Laveranues Coles,CIN,WR,32,16,13,0,0,0,0,0,2,10,5.00,0,77,43,514,11.95,5,0,,5,,,82,125.4,128.4,103.9,,57,,ColeLa00
147,Josh Cribbs,CLE,WR,26,16,12,1,4,18,0,1,55,381,6.93,1,37,20,135,6.75,1,6,2,6,,,82,102.3,111.3,93.3,,58,,CribJo01
148,Owen Daniels,HOU,TE,27,8,8,0,0,0,0,0,0,0,,0,58,40,519,12.98,5,1,,5,,,82,121.9,124.9,101.9,,17,,DaniOw00
149,Kevin Faulk,NWE,RB,33,15,7,0,0,0,0,0,62,335,5.40,2,53,37,301,8.14,1,1,1,3,,,80,116.6,123.6,98.1,,45,,FaulKe00
150,Jason Avant,PHI,WR,26,16,9,0,0,0,0,0,0,0,,0,58,41,587,14.32,3,1,,3,1,,79,119.7,122.7,99.2,,60,,AvanJa00
151,Jake Delhomme,CAR,QB,34,11,11,178,321,2015,8,18,17,60,3.53,0,0,0,0,,0,6,3,0,,1,79,78.6,102.6,96.6,,30,,DelhJa00
152,Louis Murphy,OAK,WR,22,16,9,0,0,0,0,0,6,31,5.17,0,96,34,521,15.32,4,0,,4,,,79,113.2,116.2,96.2,,59,,MurpLo00
153,Justin Fargas,OAK,RB,29,12,4,0,0,0,0,0,129,491,3.81,3,21,17,113,6.65,0,1,,3,,,78,95.4,101.4,86.9,,46,,FargJu00
154,Brian Hartline,MIA,WR,23,16,2,0,0,0,0,0,4,29,7.25,1,56,31,506,16.32,3,0,,4,,,78,108.5,111.5,93.0,,62,,HartBr00
