rank,player,team,position,age,games,games_started,completions,pass_attempts,pass_yards,pass_tds,ints,rush_attempts,rush_yards,yards_per_rush_attempt,rush_tds,targets,receptions,rec_yds,yards_per_rec,rec_tds,fumbles,fumbles_lost,rush_and_rec_td_total,two_point_convs_made,two_point_conv_passes,standard_fantasy_points,ppr_fantasy_points,draftkings_points,fanduel_points,vbd,pos_rank,overall_rank,player_id
1,Saquon Barkley,PHI,RB,27,16,16,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,5.81,13.0,43.0,33.0,278.0,8.42,2.0,2.0,1.0,15,3.0,,322.0,355.3,362.3,338.8,163.0,1,1.0,BarkSa00
2,Derrick Henry,BAL,RB,30,17,17,0.0,0.0,0.0,0.0,0.0,325.0,1921.0,5.91,16.0,22.0,19.0,193.0,10.16,2.0,3.0,1.0,18,,,317.0,336.4,343.4,326.9,159.0,2,2.0,HenrDe00
3,Jahmyr Gibbs,DET,RB,22,17,4,0.0,0.0,0.0,0.0,0.0,250.0,1412.0,5.65,16.0,63.0,52.0,517.0,9.94,4.0,1.0,1.0,20,,,311.0,362.9,369.9,336.9,153.0,3,3.0,GibbJa01
4,Lamar Jackson,BAL,QB,27,17,17,316.0,474.0,4172.0,41.0,4.0,139.0,915.0,6.58,4.0,0.0,0.0,0.0,,0.0,10.0,5.0,4,1.0,,430.0,430.4,445.4,434.4,140.0,1,4.0,JackLa00
5,Ja'Marr Chase,CIN,WR,24,17,16,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.67,0.0,175.0,127.0,1708.0,13.45,17.0,0.0,0.0,17,,,276.0,403.0,406.0,339.5,138.0,1,5.0,ChasJa00
6,Bijan Robinson,ATL,RB,22,17,17,0.0,0.0,0.0,0.0,0.0,304.0,1456.0,4.79,14.0,72.0,61.0,431.0,7.07,1.0,1.0,0.0,15,1.0,,281.0,341.7,347.7,311.2,124.0,4,6.0,RobiBi01
7,Josh Jacobs,GNB,RB,26,17,17,0.0,0.0,0.0,0.0,0.0,301.0,1329.0,4.42,15.0,43.0,36.0,342.0,9.5,1.0,4.0,3.0,16,,,257.0,293.1,302.1,275.1,102.0,5,7.0,JacoJo01
8,Josh Allen,BUF,QB,28,17,17,307.0,483.0,3731.0,28.0,6.0,102.0,531.0,5.21,12.0,0.0,0.0,7.0,,1.0,5.0,2.0,13,,1.0,379.0,379.0,393.0,385.0,91.0,2,8.0,AlleJo02
9,Joe Burrow,CIN,QB,28,17,17,460.0,652.0,4918.0,43.0,9.0,42.0,201.0,4.79,2.0,0.0,0.0,0.0,,0.0,11.0,5.0,2,,,373.0,372.8,392.8,381.8,85.0,3,9.0,BurrJo01
10,Kyren Williams,LAR,RB,24,16,16,0.0,0.0,0.0,0.0,0.0,316.0,1299.0,4.11,14.0,40.0,34.0,182.0,5.35,2.0,5.0,3.0,16,,,238.0,272.1,281.1,255.1,84.0,6,10.0,WillKy02
11,James Cook,BUF,RB,25,16,16,0.0,0.0,0.0,0.0,0.0,207.0,1009.0,4.87,16.0,38.0,32.0,258.0,8.06,2.0,1.0,0.0,18,,,235.0,266.7,272.7,250.7,81.0,7,11.0,CookJa01
