feature,Linear Regression_importance,Random Forest_importance,XGBoost_importance,Gradient Boosting_importance,avg_importance
ppr_fantasy_points_s_minus_1,6.878692243701858,100.0,93.03557,100.0,74.97856512025163
avg_ppr_last_2_seasons,1.3068069791143253,92.28990954033301,100.0,71.41290432447283,66.25240521098004
pos_QB,100.0,0.015145125289892937,0.5272989,0.0032596114902259973,25.13642591602181
ppr_per_game_s_minus_1,12.25260813259206,25.084739297752208,26.613293,23.519926924761112,21.867641762299293
avg_ppr_last_3_seasons,1.3641389805954083,13.88036446957391,30.418589,25.097567803228287,17.690164972925817
pos_TE,42.56060229752312,0.18255873245488238,4.2525163,0.5169936529677741,11.878167738157403
rec_tds_s_minus_1,33.072853413164545,1.0493008161611037,4.2761035,2.040419757749198,10.10966937090659
pos_RB,32.95621269321757,0.07905259535626061,3.7103374,0.0725456679117665,9.2045370892305
rush_tds_s_minus_1,27.86450999826738,0.861295969875861,4.661893,1.8412403677084552,8.807234806695469
pos_WR,28.261704521611385,0.11156320658989385,2.9872298,0.0716122307781307,7.858027445761392
age_s_minus_1,14.944614589527786,4.928083208331508,3.581811,6.7664918151525235,7.555250141061182
ppr_per_game_s_minus_3,19.056223328238186,1.1918875769199855,5.4453955,2.062085847328576,6.938898055538068
rec_tds_s_minus_2,17.382926381910327,0.9184165149686655,5.786886,2.0028492188995886,6.522769582747135
pass_tds_s_minus_1,15.907529069453274,0.858246492482025,6.7685747,0.7791683893070276,6.078379666475743
rec_yards_per_game_s_minus_1,7.041548080264233,3.6185184767935703,6.80011,6.290537175798104,5.937678399034289
fumbles_lost_s_minus_2,17.555018122228628,0.4994578333016725,4.785361,0.4435836831990051,5.820855112967544
rush_tds_s_minus_2,14.173941763866567,0.7843652424558414,5.7026167,0.9841585821345117,5.411270570011569
pass_yards_per_game_s_minus_1,0.9522583074019552,3.071078409659045,11.190796,4.727016854340592,4.985287367459772
ints_s_minus_1,11.829986309297313,0.835473808047468,4.8665376,1.5041452266607187,4.7590357287397165
ppr_per_game_s_minus_2,4.3310565635596765,2.5211871379836004,7.0162807,3.5296101500242614,4.349533625665017
rush_tds_s_minus_3,9.990409080437802,0.30889780787936744,6.1751623,0.4267991622500639,4.225317091483971
rush_yards_per_game_s_minus_1,4.349308419403743,2.690940021828774,5.22349,4.479462132837379,4.185800203064899
fumbles_s_minus_2,11.16923905612101,0.7008252319072303,3.7166207,0.8983517555002758,4.12125918179964
yards_per_rush_attempt_s_minus_1,1.3791535395152634,3.1141456540703643,4.668132,6.179312451382401,3.8351858683190336
ppr_fantasy_points_s_minus_2,2.08743759284532,2.216303608531386,7.214126,3.6755569449555847,3.7983560641022986
rec_tds_s_minus_3,8.294917053746872,0.3551105461772881,6.2132745,0.3222819354736017,3.7963960035775286
rush_yards_per_game_s_minus_2,3.493124057752303,1.6160704468031628,6.8282814,2.4047018947854246,3.585544450482195
fumbles_s_minus_1,0.43257110397171084,2.490304113008745,6.526423,3.7562543423459487,3.3013881341934788
ints_s_minus_2,6.326573295973172,0.38475618624099966,5.2621365,0.9677616318800212,3.235306893361195
fumbles_lost_s_minus_1,5.3903779325420755,0.9609065014602606,4.851664,1.4614031945478128,3.1660879237162116
std_dev_ppr_last_3_seasons,0.7116540025406047,2.389946288675246,5.2541494,4.226908906840139,3.1456646587516683
yards_per_rec_s_minus_1,0.6320599794941928,2.866606135405066,3.983204,5.061738444232427,3.1359021117677846
yards_per_rush_attempt_s_minus_2,2.944471741243612,1.7477392585860092,4.516936,3.1545200493454044,3.0909167186307314
receptions_s_minus_1,3.588482369940169,1.5968034625244418,4.7743583,2.2130801156572955,3.043181055168599
ppr_trend_s1_vs_s2,0.10695927789022225,2.675818997652056,5.099485,4.276362155534129,3.039656337894529
rush_yards_s_minus_1,0.5243575547838375,1.8668209222773147,4.8408585,4.26894034950257,2.8752443215090944
rush_yards_per_game_s_minus_3,3.055601326041048,0.775345189166325,5.850086,1.4813991995775218,2.7906079817357745
targets_s_minus_1,1.65324307132761,1.993574741174735,4.0271688,3.3293867199513723,2.7508433208041643
rec_yards_per_game_s_minus_2,3.392660583209845,1.1680870134880865,4.1405334,2.265401515587661,2.741670639887804
rec_yds_s_minus_1,0.6827574180849222,2.0823849553671323,4.593745,3.446877349762556,2.701441238710757
ints_s_minus_3,7.581735148219738,0.2247164444240195,2.5573065,0.38919573280029807,2.6882384633838714
rush_attempts_s_minus_1,1.12364844463122,1.7826005365711683,4.3688126,3.377489418063104,2.663137740075162
pass_yards_s_minus_1,0.18957984339719816,1.0213401313633879,7.782785,1.609595796462617,2.6508251775088647
rush_yards_s_minus_2,0.4746980452278504,1.3033680960691432,5.826812,2.556799019591409,2.5404192378386776
targets_s_minus_2,3.3986806395021967,0.8055308242339025,4.471031,1.410227519348384,2.5213675430123317
completions_s_minus_3,3.0890318494642286,0.136548617669007,6.51026,0.05691545855601294,2.4481890077055763
pass_yards_s_minus_2,0.16544531338757115,0.49355161693537014,7.952719,0.8380760552804445,2.3624480492954385
age_s_minus_2,1.004212980955465,1.1796684846242544,5.6674376,1.5970462987523357,2.3620913294344543
ppr_fantasy_points_s_minus_3,2.4134821912791633,1.0256666710822027,4.576481,1.3990011269171663,2.353657713689262
yards_per_rec_s_minus_2,1.5604989426647526,1.3845562742196162,4.035503,2.4078568495370702,2.347103744258863
rush_attempts_s_minus_2,0.03960400950488521,1.0437060307754915,5.640283,2.3489742701513827,2.268141854547332
age_s_minus_3,0.7363369975352568,0.9399439798396141,5.9153953,1.4346916668508611,2.2565919760207276
receptions_s_minus_2,1.8246328496907125,0.9375473513003132,4.732553,1.5087031846165166,2.250859097706512
yards_per_rush_attempt_s_minus_3,2.0326341688568625,0.8533166421767817,4.3005915,1.7120452527311905,2.2246468831439676
receptions_s_minus_3,1.669927009419814,0.3810100444724834,5.7653017,1.0027349402704377,2.2047434246423685
pass_attempts_s_minus_3,1.2245254493761468,0.14903142896877417,6.892399,0.5357725981236845,2.2004320776742805
pass_tds_s_minus_2,2.510950698140565,0.29291795564698736,5.308138,0.6515725055369472,2.1908947632503146
games_s_minus_2,3.21264235268487,0.7574101933973817,3.748609,0.7426170336207519,2.1153196614281313
