model_rank,espn_rank,player_name,predicted_ppr_2024,position,player,actual_ppr_2024,actual_rank_2024,model_rank_error,espn_rank_error
184,293,Mike Gesicki,55.302161530141,TE,Mike Gesicki,141.5,120,64,173
185,228,Zay Jones,53.63338147584092,WR,Zay Jones,16.4,378,193,150
186,206,Luke Musgrave,52.85044394662665,TE,Luke Musgrave,11.5,422,236,216
187,207,Tucker Kraft,51.7799382567926,TE,Tucker Kraft,163.3,105,82,102
188,193,Juwan Johnson,51.49510805967417,TE,Juwan Johnson,122.8,147,41,46
189,261,Van Jefferson,51.2874631984816,WR,Van Jefferson,63.6,242,53,19
190,226,Tank Bigsby,51.06147219314926,RB,Tank Bigsby,129.0,138,52,88
191,217,Hayden Hurst,50.49314206787158,TE,Hayden Hurst,15.3,386,195,169
192,274,Nelson Agholor,49.76688110580575,WR,Nelson Agholor,49.1,272,80,2
193,251,Emari Demercado,49.45789898101953,RB,Emari Demercado,54.7,263,70,12
194,279,Ameer Abdullah,48.44985653036164,RB,Ameer Abdullah,125.2,141,53,138
195,103,Chase Brown,47.52359191984996,RB,Chase Brown,255.0,34,161,69
196,146,Rico Dowdle,46.07580636192425,RB,Rico Dowdle,197.8,74,122,72
197,229,Andrei Iosivas,45.06085870888218,WR,Andrei Iosivas,119.9,156,41,73
198,159,Miles Sanders,44.606726681829024,RB,Miles Sanders,77.3,222,24,63
199,294,KhaDarel Hodge,43.38557548429437,WR,KhaDarel Hodge,32.1,321,122,27
200,239,Ty Johnson,42.41191571749698,RB,Ty Johnson,91.7,202,2,37
201,200,Will Levis,42.35670136718226,QB,Will Levis,119.9,155,46,45
202,208,Jalen Tolbert,42.08609844358577,WR,Jalen Tolbert,152.0,111,91,97
203,283,Craig Reynolds,37.82110706129505,RB,Craig Reynolds,20.9,360,157,77
204,243,Trey Sermon,37.24496188846733,RB,Trey Sermon,53.8,266,62,23
205,242,Deuce Vaughn,35.37934102122718,RB,Deuce Vaughn,11.8,418,213,176
206,241,Dameon Pierce,34.849330906788246,RB,Dameon Pierce,43.5,287,81,46
207,296,Sam Darnold,34.1865212464252,QB,Sam Darnold,308.0,16,191,280
208,195,Clyde Edwards-Helaire,29.594947000808705,RB,Clyde Edwards-Helaire,10.0,429,221,234
209,278,Jeremy McNichols,26.960510788153847,RB,Jeremy McNichols,63.8,240,31,38
210,245,Eric Gray,19.656734287066268,RB,Eric Gray,17.3,374,164,129
211,265,Tyler Goodson,19.006487209590443,RB,Tyler Goodson,44.4,283,72,18
212,266,Trayveon Williams,18.99942301469126,RB,Trayveon Williams,,627,415,361
213,248,Emanuel Wilson,16.431038900906177,RB,Emanuel Wilson,96.0,194,19,54
214,280,Julius Chestnut,15.871229037793462,RB,Julius Chestnut,13.3,408,194,128
215,282,Kenny McIntosh,14.45128807250012,RB,Kenny McIntosh,22.4,354,139,72
216,250,D'Ernest Johnson,11.942487771700463,RB,D'Ernest Johnson,35.9,300,84,50
